|,sentence,info_snippets,info_target,info_sentiment_score,info_aspects
14924,$SPPI..building RS. Sweet. I want this to break a new 52week. The earnings growth justifies way higher,['I want this to break a new 52week'],0.601,SPPI,['Stock/Price Action/Bullish']
14925,$SPY bull move ended waiting for next setup,['bull move ended'],-0.204,SPY,['Stock/Price Action/Bearish']
14927,Double bottom with handle buy point of 29.51 $IP http://chart.ly/akvujxh,['Double bottom with handle buy point'],0.446,IP,['Stock/Technical Analysis']
14928,"$GLD http://stks.co/jr8 Daily chart - though RSI and Stoch. point at a possible move up, there's a lot of resistance.",['though RSI and Stoch'],0.176,GLD,['Stock/Technical Analysis']
14929,$ACOM http://stks.co/1G6x Downside breakout looks to be coming soon.,['Downside breakout looks to be coming soon'],-0.536,ACOM,['Stock/Price Action/Bearish']
14930,$ZAGG getting ready...Target $15 plus on a close over $13.50 on better than avg daily Volume http://chart.ly/lha44tn,['Target $15 plus on a close over $13.50 on better than avg daily Volume'],0.385,ZAGG,['Stock/Price Action/Bullish']
14931,volatility squeeze in $AAPL. I hope it gets resolved to the upside,['volatility squeeze'],0.042,AAPL,['Market/Volatility]
14933,"Still short $LNG from $11.70 area...next stop could be down through $9.00. Someone slammed it hard with 230,000 shs this am! More to follow",['Still short $LNG from $11.70 area...next stop could be down through $9.00.'],-0.543,LNG,['Stock/Price Action/Volatility/Short Selling']
14934,Covered my small $MWW short @ 7.99 for a .16 loss. Flat on the day. All cash now.,['Covered my small $MWW short'],0.348,MWW,['Stock/Price Action/Bullish/Bullish Behavior']
14935,That bearish outside day Tuesday is significant. 200 day resistance still intact. just my opinion $SDS http://chart.ly/2bey48t,['200 day resistance still intact'],-0.39,SDS,['Stock/Technical Analysis']
14944,"RT FITZSTOCK2004: $IYT http://stks.co/1NBF the Transports always lead  the way, and  they broke DT  line  1st, MACD cross,  bull  flag=","['broke DT line 1st, MACD cross']",0.594,IYT,['Stock/Technical Analysis']
14945,$DUG weekly stochastics finally starting to turn up after long consolidation. Buying here.,['weekly stochastics finally starting to turn up'],0.702,DUG,['Stock/Technical Analysis/Stochastic']
14955,$SPY Don't hang your bull hat yet. Next week we will pop higher on QE3 hope on back of fed's 2 day meeting.,['Next week we will pop higher'],0.412,SPY,['Stock/Price Action/Bullish']
14959,longed $AMZN 300 @ 189.82,['longed'],0.65,AMZN,['Stock/Price Action/Bullish/Bull Position']
14961,"$SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg","['is down, but weekly $34 calls']",0.145,SLW,['Stock/Options']
14965,"$HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill","['Receives 7-Year, $50M Contract']",0.497,HSC,['Corporate/Sales/Deal']
14971,"Reuters: Green Mountain revenue misses, shares plunge http://stks.co/13mW > $GMCR prints 43.80, market in a foul mood, bad day to disappoint","['Green Mountain revenue misses, shares plunge']",-0.668,GMCR,['Corporate/Financial/Financial Results']
14986,"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope","[""watch 50ma's slope""]",-0.299,XLF,['Stock/Technical Analysis']
14994,$vxx adding to position here !,['adding to position here'],0.685,VXX,['Stock/Price Action/Bullish/Bull Position']
14995,$GPS Gap September Comparable Store Sales -4%,['September Comparable Store Sales -4%'],-0.441,GPS,['Corporate/Sales']
15000,Double bottom with handle buy point of 56.49 $WMT http://chart.ly/ml857v3,['Double bottom with handle buy point'],0.654,WMT,['Stock/Technical Analysis']
15001,$MA http://stks.co/1CYN continues to consolidate / base here,['continues to consolidate / base here'],0.148,MA,['Stock/Price Action/Bullish/Bullish Behavior']
15003,Nasdaq Sets Up for Breakout Part II | via @AllStarCharts http://stks.co/15Nv  $GOOG $AMZN $QCOM,['Sets Up for Breakout'],0.396,QCOM,['Stock/Price Action/Bullish']
15009,$isrg trading at all-time high after strong earnings report with 4 days of short interest.,['trading at all-time high'],0.729,ISRG,['Stock/Price Action/Current Price/52-Week High']
15016,$UTSI http://stks.co/15uR Long setup. Reported very good earnings.,['Reported very good earnings.'],0.63,UTSI,['Corporate/Financial/Financial Results/Earnings']
15021,Here come the shorts marchin' in.  $GMCR.  Lovin' it!,['Here come the shorts'],-0.522,GMCR,['Stock/Price Action/Volatility/Short Selling']
15022,$aapl news is becoming very bullish again http://stks.co/tMU,['news is becoming very bullish again'],0.526,AAPL,['Stock/Price Action/Bullish']
15031,stole my tweet. really wouldn't be surprised if we took out 423 and pinned around it RT @totalguru We could possibly even see425 today $AAPL,"[""wouldn't be surprised if we took out 423""]",0.142,AAPL,['Stock/Price Action']
15034,"$DPZ broke out now of his bull flag channel and make new highs, but volume is very poor",['broke out now of his bull flag channel and make new highs'],0.369,DPZ,['Stock/Price Action/Bullish/Bullish Behavior']
15035,$ES_F. Nice little cup-and-handle shaping up on the 15-minute. End-of-day $SPY $SPX favours a good day for the index. Will we see a gap open,['Nice little cup-and-handle shaping up on the 15-minute'],0.341,SPY,['Stock/Technical Analysis']
15043,Short more $FAZ for all who don't know that means markets will tank now :-p,"[""for all who don't know that means markets will tank now""]",-0.605,FAZ,['Stock/Price Action/Bearish']
15046,RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,['Markets Are Still Acting Weak'],-0.443,XLF,['Stock/Price Action']
15047,"FBR Capital reiterated ""Outperform"" rating on $BRCM with a price target of $45.00 on Friday.","['reiterated ""Outperform"" rating']",0.521,BRCM,['Stock/Coverage/AnalystRatings/Upgrade']
15050,$ELN longs...congrats...another HOD,['longs...congrats...another HOD'],0.445,ELN,['Stock/Price Action/Bullish/Bullish Behavior']
15051,"Casinos red before the bell: $LVS -0.75%, $WYNN -0.47%, $WYNN -0.47% > unusual comibinations of what's running, what's red before the bell",['red before the bell'],-0.424,WYNN,['Stock/Price Action/Bearish/Bearish Behavior']
15053,$TSPT  long 8.00,['long play'],0.499,TSPT,['Stock/Price Action/Bullish/Bull Position']
15060,$SKH http://stks.co/163e Long setup. Watch for continuation and volume expansion here. Hot sector.,['Long setup. Watch for continuation and volume expansion here.'],0.622,SKH,['Stock/Price Action/Bullish/Bullish Behavior']
15064,Looks like its booking a one way ticket to its 40 week MA near 50. Losing 10 week here $LULU http://chart.ly/7xb9h9b,['Losing 10 week here'],0.006,LULU,['Stock/Price Action/Bearish']
15066,"RT @joemccann the correleation between the dollar index and $SPY is simply amazing. $DX finds support, $SPY retreats like clockwork",['the correleation between the dollar index and $SPY is simply amazing'],-0.312,SPY,['Stock/Price Action']
15069,$FIO won't stay down,"[""won't stay down""]",0.376,FIO,['Stock/Price Action/Current Price/Oversold']
15073,$AAPL http://stks.co/1LDx Clearing this descending trend line / buy area now,['Clearing this descending trend line'],0.529,AAPL,['Stock/Technical Analysis']
15079,$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,['Go Long until exp imo'],0.414,ROST,['Stock/Price Action/Bullish']
15080,i-Grid shows $DIA capped for the long term at range of 123.40- 124.77;any rally beyond today's levels or into this range leads to meltdown.,"[""any rally beyond today's levels or into this range leads to meltdown.""]",-0.172,DIA,['Stock/Price Action/Bearish']
15088,"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.","['Numbers looked good, not great, but good']",0.011,LULU,['Stock/Fundamentals']
15092,"$ZSL looking very weak, could be a good short setup.","['looking very weak, could be a good short setup.']",-0.614,ZSL,['Stock/Price Action/Bearish/Bearish Behavior']
15096,"@Dlerch LOL! $FMCN back under $17, darn those shorts! No chit Sherlock!",['darn those shorts!'],-0.483,FMCN,['Stock/Price Action/Volatility/Short Selling']
15099,$mcp rolling over for a new intraday low. Bottom Pickers continue to get destroyed,['Bottom Pickers continue to get destroyed'],-0.607,MCP,['Stock/Price Action/Bearish/Bearish Behavior']
15104,"ACE Limited, which has a 17 year dividend growth streak, plans a 33% dividend hike: http://stks.co/1BUE $ACE",['plans a 33% dividend hike'],0.455,ACE,['Corporate/Dividend Policy']
15109,"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",['MACD crossover a half-a-hair away on the weekly'],0.498,AAPL,['Stock/Technical Analysis/MACD']
15117,$CIEN http://stks.co/dZU CIEN seems to have broken out of a major horizontal resistance. Targets $14.35.,['broken out of a major horizontal resistance'],0.345,CIEN,['Stock/Technical Analysis']
15119,like $T for a breakout long as well. getting through the 100 and 200 MA could see it run.,['getting through the 100 and 200 MA could see it run.'],0.655,T,['Stock/Price Action/Bullish']
15122,My $DWA play up 6% today. I'm still skeptical. Will take profits. Not a time cheer,"[""I'm still skeptical. Will take profits""]",-0.088,DWA,['Stock/Price Action/Bearish']
15132,$IBM staying strong,['staying strong'],0.532,IBM,['Stock/Price Action/Bullish']
15141,"$SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now","['even though the ""report"" is untrue and has been proven unture, the damage is done']",-0.55,SINA,['Corporate/Reputation']
15149,"$amzn 4 period RSI is down at 20, just read Connors book on trading strategies",['4 period RSI is down at 20'],0.221,AMZN,['Stock/Technical Analysis']
15152,$SIGA Bid for Reargument Denied by Judge,['Bid for Reargument Denied by Judge'],-0.354,SIGA,['Corporate/Legal']
15153,"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...","['Crazy looking chart, but nearing breakout resistance line']",0.194,YHOO,['Stock/Technical Analysis/Breakout']
15159,$CERN - consolidating above 50 & 200 MA - nice long entry here w stop below 10 MA - targeting $70 area,['consolidating above 50 & 200 MA'],0.443,CERN,['Stock/Price Action/Bullish/Bullish Behavior']
15162,$SPY http://stks.co/1MiR We're holding above Wednesday and Thursday closes. I'm leaning bullish. Small postions. Waiting.,"[""We're holding above Wednesday and Thursday closes. I'm leaning bullish""]",0.316,SPY,['Stock/Price Action/Bullish']
15167,$RDC Rowan Expands Share Repurchase Program to $150 million,['Rowan Expands Share Repurchase Program'],0.285,RDC,['Stock/Fundamentals/Share Buyback']
15175,$NVDA sideways,['sideways'],0,NVDA,['Stock/Price Action']
15176,$HITK  Resuming advance into new historical highs.,['Resuming advance into new historical highs.'],0.68,HITK,['Stock/Price Action/Current Price/52-Week High']
15188,Held its recent double bottom buy point of 56.57 almost to the penny today $WMT http://chart.ly/6nosp5q,['Held its recent double bottom buy point'],0.198,WMT,['Stock/Technical Analysis']
15194,$GOOG breakout very likely medium target $700+ http://stks.co/1Lpz http://chart.ly/lgb94rr,['breakout very likely'],0.518,GOOG,['Stock/Technical Analysis/Breakout']
15195,RT @Street_Insider The Steve Jobs Effect? Apple $AAPL First Day iPhone 4S Sales Were Off the Charts http://stks.co/YYe,['Sales Were Off the Charts'],0.539,AAPL,['Corporate/Sales']
15198,"that was quick, out $FIO 21.35, market tanking, scaling down longs now",['market tanking'],-0.497,FIO,['Market/Market']
15201,$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,['great short setting up'],-0.406,SPY,['Stock/Price Action']
15209,$LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share,['Increases Annual Dividend Target'],0.324,LNT,['Corporate/Dividend Policy']
15221,"RT @Cash_Cow $TLT still has a rising RSI & MACD, all this bond buying is signaling some bad moves for the market. $SPY $UUP",['still has a rising RSI & MACD'],-0.361,UUP,['Stock/Technical Analysis']
15222,$IDCC - $89 share total value of company after crunching #'s. The 4g technology is their diamond in the rough.,"[""crunching #'s""]",0.477,IDCC,['Corporate/Financial/Financial Results/Earnings']
15223,$mako hanging in well today. still in a basing pattern. have eyes on it,['hanging in well today. still in a basing pattern'],0.195,MAKO,['Stock/Price Action/Bullish']
15225,"RT @stockdemons think shorting here into close might be play, $SPY - high beta reversing..looks worth a shot",['think shorting here into close might be play'],-0.469,SPY,['Stock/Price Action/Volatility/Short Selling']
15227,$TZA is a rocket ship!!!,['is a rocket ship!!!'],0.807,TZA,['Stock/Price Action/Bullish/Bullish Behavior']
15238,"Lots of metal stocks look like a 5-10% run awaits. Long $SSRI,$PAAS and $NEM but most high quality names should go if metal prices cooperate",['stocks look like a 5-10% run awaits. Long'],0.394,SSRI,['Stock/Price Action/Bullish']
15241,$vxx starting to creep up while $spy sits near hod ...,['sits near hod'],0.141,SPY,['Stock/Price Action/Bullish/Bullish Behavior']
15249,$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,"[""I'm sure those short are holding their breath""]",0.411,AAPL,['Stock/Price Action/Volatility/Short Selling']
15250,VIVUS $VVUS bear raid in effect. Stock down 12%,['bear raid in effect. Stock down 12%'],-0.57,VVUS,['Stock/Price Action/Volatility/Short Selling']
15254,looks like a big feb 18-22 $put spread on $cree.  Last quarter 0% YoY rev growth trading @ 24x earnings.  I may try a short.,['I may try a short.'],-0.352,CREE,['Stock/Price Action/Bearish/Bear Position']
15260,$YELP wayyy overvalued right now IMO. Should be trading single digits. May take a short pos. into earnings. Near term target 18 ......,['wayyy overvalued right now IMO'],-0.451,YELP,['Stock/Price Action/Current Price/Overbought']
15265,$renn topping tail 5 min. chart at 7.31 short from here.,['short from here.'],-0.64,RENN,['Stock/Price Action/Bearish']
15267,$SPY weak close,['weak close'],-0.297,SPY,['Stock/Price Action/Bearish']
15274,$ZNGA http://stks.co/3rdu Looking for a test at 9.25 resistance point. cc @ cfrazierjr @FletchTrade #traders,['Looking for a test at 9.25 resistance point'],0.248,ZNGA,['Stock/Technical Analysis']
15276,$EFUT hod  posted buy pm at $4.40,['hod poste'],0.354,EFUT,['Stock/Price Action/Bullish/Bullish Behavior']
15279,$AAPL short some 592.49,['short some'],-0.464,AAPL,['Stock/Price Action/Bearish/Bear Position']
15280,"@SOULLOR the regular scrappy Q $SWY usually presents. Sales weak, margins down, debt still way up.","['Sales weak, margins down, debt still way up.']",-0.515,SWY,['Corporate/Financial/Accounting']
15285,"$AAPL Taking out the shorts here, a punishing reminder not to spear the  strongest in the herd.",['Taking out the shorts here'],0.144,AAPL,['Stock/Price Action/Bullish/Bullish Behavior']
15296,Think $FMS will challendge 200-EMA in not distant future.   Look at yesterday's volume,['will challendge 200-EMA in not distant future'],0.221,FMS,['Stock/Technical Analysis']
15299,"RT @Dasan @TMTanalyst ...since $AAPL mastered their supply chain // in cornering NAND, Apple mastered EVERYONE'S supply chain!","[""Apple mastered EVERYONE'S supply chain!""]",0.461,AAPL,['Corporate/Strategy']
15313,$PRLB hanging tough in down market due to analyst upgrades last week. Up almost 3%.,['analyst upgrades last week'],0.394,PRLB,['Stock/Coverage/AnalystRatings/Upgrade']
15314,$AMRN It's accumulating. I think buy now or hold your peace. This should go up today/tomorrow.,"[""It's accumulating. I think buy now or hold your peace. This should go up today/tomorrow.""]",0.469,AMRN,['Stock/Price Action/Bullish/Bullish Behavior']
15323,$AXP Looking for continuation with volume increase http://stks.co/c8sR,['Looking for continuation with volume increase'],0.308,AXP,['Stock/Price Action']
15327,MT @TheAcsMan Amazing seeing everyone suddenly touting $MSFT. Long been favorite covered call & double dip dividend play.,['double dip dividend play'],0.444,MSFT,['Corporate/Dividend Policy']
15329,Surprising to see $JWN and $SKS sales numbers still holding up so well. I guess the high end might not be a concern after all.,['sales numbers still holding up so well'],0.315,SKS,['Corporate/Sales']
15333,"AP: Caterpillar posts 60 percent jump in 4Q profit on steep global sales increase, tops Wall St. view > $CAT",['steep global sales increase'],0.586,CAT,['Corporate/Sales']
15334,$SPY Long 1/2 position 137.89,['Long 1/2 position'],0.428,SPY,['Stock/Price Action/Bullish/Bull Position']
15338,$AAPL price momentum weakening going into the close.,['price momentum weakening going into the close.'],-0.22,AAPL,['Stock/Price Action']
15340,RT @ACInvestorBlog $AAPL still on track for $500,['still on track for $500'],0.166,AAPL,['Stock/Price Action/Future Price/Direction']
15345,$SPY $MITK fast 56pc dive http://stks.co/3ffN $$,['fast 56pc div'],-0.26,SPY,['Stock/Price Action/Bearish']
15353,$BAC in for swing trade  looks like want go up,['in for swing trade looks like want go up'],0.433,BAC,['Stock/Price Action/Bullish/Bull Position']
15356,$PCLN runs into the 50sma on the acquisition news,['acquisition news'],0.486,PCLN,['Corporate/M&A/M&A']
15358,$aapl short term fund/redemption liquidations.. Should have the channel cleared soon and on solid footing. $520 is new floor come July! :),['Should have the channel cleared soon and on solid footing'],-0.175,AAPL,['Stock/Technical Analysis']
15360,$WYNN big bounce,['big bounce'],0.61,WYNN,['Stock/Price Action/Bullish']
15362,$GLD http://stks.co/44ow On closer inspection.  Resistance 10 points north at 200d and downward trendline. Chart 2 of 2.,['Resistance 10 points north at 200d and downward trendline'],-0.143,GLD,['Stock/Technical Analysis']
15367,$AAPL wants lower. up waves getting smaller on the 2 min,['wants lower. up waves getting smaller'],-0.37,AAPL,['Stock/Price Action/Bearish/Bearish Behavior']
15372,Short interest increases yet again http://stks.co/e19h via @ryandetrick $SPY,['Short interest increases yet again'],-0.342,SPY,['Stock/Fundamentals/Short Interest Rate']
15378,"$QCOR a little pullback is fine but if this erases all of todays gains, I cannot believe the manipulation its capable of",['this erases all of todays gains'],-0.169,QCOR,['Stock/Price Action/Bearish']
15380,$WMT BULLISH with MACD CROSSOVER with RSI and STO going up - above 73.4$ MA50 res. could run http://stks.co/gGCq,['MACD CROSSOVER with RSI and STO going up'],0.574,WMT,['Stock/Technical Analysis']
15384,Rival companies $GWR and WATCO eyeing $RA w take-over interest.  http://stks.co/o0xY,['take-over interest'],0.396,RA,['Corporate/M&A/M&A']
15392,$AAPL 620 resistance area,['620 resistance area'],-0.025,AAPL,['Stock/Technical Analysis']
15400,what is up with $HK..... from Jan to now it's been a sinking ship...,"[""it's been a sinking ship""]",-0.573,HK,['Stock/Price Action/Bearish']
15405,"$WGO's BoD was right to reject the offer. That company is low because of the economy, not because of any type of mismanagement or anything.",['was right to reject the offer'],0.076,WGO,['Corporate/M&A']
15410,I'm no professional ANAL-yst but I DO put my $ where my mouth is. $AAPL will do $575 b4 yr.endâ€”That's another hun from here.Long LEAPS =^.^=,['Long LEAPS'],0.579,AAPL,['Stock/Options']
15414,"$AAPL bounce right now has no vol, more vol when it slid",['bounce right now has no vol'],0.19,AAPL,['Stock/Price Action']
15421,"$LULU http://stks.co/o17i Bounced off support early in week - now indicators turning up (RSI, MACD, SMI) Worth a look","['now indicators turning up (RSI, MACD, SMI)']",0.351,LULU,['Stock/Technical Analysis']
15422,$NIHD insiders got this one wrong. Looking for bottom. Rsi under 30,['Looking for bottom. Rsi under 30'],-0.202,NIHD,['Stock/Technical Analysis']
15429,$AAPL long 630.91,['long'],0.512,AAPL,['Stock/Price Action/Bullish/Bull Position']
15437,"It's a bad idea to make 5 min predictions based on faith: RT @dandyduct $AAPL Sell signal hit at 584, it will go down for the next 5 min","['Sell signal hit at 584, it will go down for the next 5 min']",-0.445,AAPL,['Stock/Signal/Sell Signal']
15439,$KCG bot at 2.24,['bot at 2.24'],0.384,KCG,['Stock/Price Action/Bullish/Bull Position']
15448,$HZNP havent seen vol like this since the runup. lets see one more dip to 2.0x,['lets see one more dip to 2.0x'],-0.274,HZNP,['Stock/Price Action/Bearish/Bearish Behavior']
15450,pretty steady accumulation off support today.  Purdy. $AGU,['pretty steady accumulation off support today'],0.464,AGU,['Stock/Price Action']
15452,Out of shorts $ALTR at 38.85 with loss,['Out of shorts'],0.372,ALTR,['Stock/Price Action/Bullish/Bullish Behavior']
15462,"$GMCR with the way this has been acting, it may fall to 65 today, horrible action since it hit 70 yesterday",['horrible action since it hit 70 yesterday'],-0.51,GMCR,['Stock/Price Action/Bearish']
15464,$EBAY had a nice breakout of the recent consolidation. Congrats to those who had it. http://stks.co/2TAd,['had a nice breakout of the recent consolidation'],0.452,EBAY,['Stock/Technical Analysis/Breakout']
15470,"$SDS +1.46% 15.32, picking up some speed. May 16 calls now +35% .19: http://stks.co/3eiK, Next week $16 calls .11c: http://stks.co/3eiL",['picking up some speed. May 16 calls now +35%H'],0.41,SDS,['Stock/Price Action/Bullish/Bullish Behavior']
15479,"$AAPL AAPL: Gundlach Slams iPad mini, Sees Downside to $425. http://stks.co/bDqV","['Gundlach Slams iPad mini, Sees Downside']",-0.325,AAPL,['Stock/Coverage/AnalystRatings/Downgrade']
15480,$AAPL AUG 645 calls +550% .67c: http://stks.co/i9T3,['AUG 645 calls +550%'],0.553,AAPL,['Stock/Options/Unusual Call Activity']
15482,"Went long on this $COG, will see 70's again me thinks",['Went long on this'],0.574,COG,['Stock/Price Action/Bullish/Bull Position']
15505,$AAPL nibbling on a small long via 525.. buying off 13min charts..,['nibbling on a small long'],0.509,AAPL,['Stock/Price Action/Bullish']
15508,Added. Cost now at 1.54. Bounce off of Put OI & S1 pivot. @moteltan BTO $AAPL Apr 27 2012 605.0 Calls @ 1.66 for ride to 609 ish.,['Bounce off of Put OI & S1 pivot'],0.47,AAPL,['Stock/Price Action/Bullish']
15516,"$WAC trade continuing very nicely from yesterday, almost up $3 from yesterday entry, deal pricing tonight looking very strong here... $SPY","['trade continuing very nicely from yesterday, almost up $3 from yesterday entry']",0.495,WAC,['Stock/Price Action/Bullish/Bullish Behavior']
15518,Equity indexes working on a positive engulfing for March. $SML $RUT $IWC $SMH $SOX  Small-caps / semis with a fakeout before the b/out.,['Small-caps / semis with a fakeout before the b/out.'],0.308,SOX,['Stock/Price Action/Bullish']
15520,$BONE Earnings Stocks Poised to Pop http://stks.co/2zWE,['Poised to Pop'],0.432,BONE,['Stock/Price Action/Bullish']
15525,$SONC Amazing run since middle of March - obvious that the quality/tastiness of their burgers is not being factored into this price advance,['Amazing run since middle of March'],0.492,SONC,['Stock/Price Action/Bullish']
15531,$LEE http://stks.co/24kM LEE ready to exit bankruptcy. Strong volume today.,['ready to exit bankruptcy'],0.298,LEE,['Corporate/Financial/Bankruptcy/Exisiting bankruptcy']
15533,$RCON some upside today. This thing is severe low float. If there is catalyst for this guy. It can run.,['some upside today'],0.254,RCON,['Stock/Price Action/Bullish']
15537,$KITD Looking for a oversold bounce.,['Looking for a oversold bounce.'],0.436,KITD,['Stock/Price Action/Current Price/Oversold']
15543,$PPG Descending triangle but I am liking it for an upside break http://stks.co/o9nY,['Descending triangle'],0.201,PPG,['Stock/Technical Analysis']
15549,$NSM ascending base breakout starting to gain traction; strong stock http://stks.co/gBSH,['ascending base breakout starting to gain traction'],0.605,NSM,['Stock/Technical Analysis']
15554,$aapl.  Test the high today and probably go beyond after hours...,['Test the high today'],0.505,AAPL,['Stock/Technical Analysis']
15557,Long $PCLN,['Long'],0.663,PCLN,['Stock/Price Action/Bullish/Bull Position']
15567,"$HLF shorts made a killing last couple days, might make more if cover and buy back?",['shorts made a killing last couple days'],-0.334,HLF,['Stock/Price Action/Volatility/Short Selling']
15576,Multi Top on $MCD chart finally leads to a fall in price.  Stability is questioned in the stock but coming weeks will tell.,['chart finally leads to a fall in price'],-0.474,MCD,['Stock/Technical Analysis']
15580,$MFLX up  pre mkt. Looks like GAP has been filled....lookin 4 short opt here,['up pre mkt.'],-0.412,MFLX,['Stock/Price Action/Bullish/Bullish Behavior']
15582,RT @jan $ARNA Don't think buyout rumor strong enough too be driving this up just yet...when it is this may fly like aapl...// fly how high?,"[""Don't think buyout rumor strong enough""]",-0.02,ARNA,['Corporate/Rumors']
15585,$AAPL Right back in ... - Buy the dips brought to you by CNBC. LOL,['Right back in ... - Buy the dips'],0.346,AAPL,['Stock/Price Action/Bullish/Bull Position']
15588,$DMND green and moving,['green and moving'],0.477,DMND,['Stock/Price Action/Bullish']
15596,$MTD (Mettler-Toledo) ready for a breakout,['ready for a breakout'],0.428,MTD,['Stock/Technical Analysis/Breakout']
15605,$ACAD under $2 today?,['under $2 today?'],-0.164,ACAD,['Stock/Price Action/Bearish/Bearish Behavior']
15607,$amzn breaking,['breaking'],0.251,AMZN,['Stock/Price Action']
15609,$EA points to the two Facebook games and accuses $ZNGA of copyright infringement. http://stks.co/g3A1,['copyright infringement'],-0.284,ZNGA,['Corporate/Legal']
15610,"$KGC http://stks.co/3Qta Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.","['Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.']",0.303,KGC,['Stock/Price Action/Current Price/Oversold']
15612,RT @bman1 $LNG looks primed also $EGHT poised to run too...,['poised to run too'],0.381,LNG,['Stock/Price Action/Bullish']
15614,$AAPL broke descending channel....will it hold?,['broke descending channel'],-0.07,AAPL,['Stock/Technical Analysis']
15621,$JNK http://stks.co/2Fcm Does not want to go down... risk appetite still high,['Does not want to go down... risk appetite still high'],0.272,JNK,['Stock/Price Action/Bullish/Bullish Behavior']
15624,"PNC, Goldman Sachs Receive Dividend Hike Green Light (But Don't Act): http://stks.co/2pa7 $PNC $GS",['Receive Dividend Hike Green Light'],0.316,PNC,['Corporate/Dividend Policy']
15630,$AMD big dumping... would not touch it for a while,['big dumping... would not touch it for a while'],-0.699,AMD,['Stock/Price Action/Bearish/Bearish Behavior']
15633,$GNRC finding support at its 10-day line so far.,['finding support at its 10-day line so far.'],0.256,GNRC,['Stock/Price Action/Bullish/Bullish Behavior']
15646,"Loaded up on $bsx yesterday,looking good now. Still think way more upside than downside.",['Still think way more upside than downside.'],0.664,BSX,['Stock/Price Action/Bullish']
15647,"$QCOR Just added 3,000 shares @28.","['Just added 3,000 shares']",0.73,QCOR,['Stock/Price Action/Bullish/Bull Position']
